"","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"570",25,"Pullup Jump shot",565,276
"571",25,"Running Bank shot",1,0
"572",25,"Running Hook Shot",1,0
"573",25,"Running Jump Shot",10,2
"574",25,"Step Back Jump shot",153,75
"575",25,"Turnaround Jump Shot",10,5
"576",26,"Fadeaway Jump Shot",13,7
"577",26,"Jump Bank Shot",25,20
"578",26,"Jump Shot",6289,2015
"579",26,"Pullup Bank shot",4,3
"580",26,"Pullup Jump shot",393,196
"581",26,"Running Jump Shot",9,3
"582",26,"Step Back Jump shot",73,39
"583",26,"Turnaround Bank shot",1,0
"584",26,"Turnaround Fadeaway shot",2,1
"585",26,"Turnaround Jump Shot",5,2
"586",27,"Fadeaway Bank shot",1,1
"587",27,"Fadeaway Jump Shot",5,3
"588",27,"Jump Bank Shot",16,5
"589",27,"Jump Shot",1696,501
"590",27,"Pullup Bank shot",2,2
"591",27,"Pullup Jump shot",171,84
"592",27,"Running Jump Shot",4,1
"593",27,"Step Back Jump shot",29,17
"594",28,"Driving Jump shot",1,0
"595",28,"Fadeaway Jump Shot",1,0
"596",28,"Hook Shot",1,0
"597",28,"Jump Bank Shot",3,2
"598",28,"Jump Shot",525,141
"599",28,"Pullup Jump shot",67,32
"600",28,"Running Jump Shot",2,0
"601",28,"Step Back Jump shot",5,3
"602",28,"Turnaround Jump Shot",1,0
"603",29,"Floating Jump shot",1,0
"604",29,"Jump Bank Shot",6,3
"605",29,"Jump Shot",204,49
"606",29,"Pullup Jump shot",32,10
"607",29,"Running Jump Shot",3,0
"608",29,"Step Back Jump shot",2,0
"609",30,"Driving Jump shot",1,0
"610",30,"Jump Bank Shot",1,0
"611",30,"Jump Shot",93,16
"612",30,"Pullup Jump shot",4,4
"613",30,"Running Jump Shot",2,0
"614",30,"Step Back Jump shot",1,1
"615",30,"Turnaround Jump Shot",1,0
"616",31,"Jump Shot",40,9
"617",31,"Pullup Bank shot",1,0
"618",31,"Pullup Jump shot",7,5
"619",31,"Running Jump Shot",2,0
"620",31,"Turnaround Bank shot",1,0
"621",31,"Turnaround Jump Shot",1,0
"622",32,"Jump Shot",37,6
"623",32,"Pullup Jump shot",1,0
"624",32,"Running Bank shot",1,0
"625",32,"Running Jump Shot",2,2
"626",32,"Turnaround Jump Shot",1,0
"627",33,"Jump Shot",28,3
"628",33,"Pullup Jump shot",1,0
"629",33,"Turnaround Fadeaway shot",1,0
"630",34,"Jump Bank Shot",1,0
"631",34,"Jump Shot",19,0
"632",34,"Pullup Jump shot",1,0
"633",34,"Running Jump Shot",1,0
"634",35,"Jump Shot",23,3
"635",36,"Jump Shot",20,1
"636",37,"Jump Shot",19,0
"637",37,"Running Jump Shot",1,0
"638",38,"Jump Shot",36,1
"639",38,"Pullup Jump shot",1,1
"640",38,"Running Jump Shot",1,0
"641",39,"Jump Shot",24,0
"642",39,"Running Jump Shot",3,0
"643",40,"Jump Shot",49,1
"644",40,"Running Jump Shot",3,0
"645",41,"Jump Shot",24,1
"646",41,"Pullup Jump shot",1,0
"647",41,"Running Jump Shot",2,0
"648",42,"Jump Shot",16,0
"649",42,"Running Bank shot",1,1
"650",43,"Jump Shot",17,0
"651",43,"Running Jump Shot",2,0
"652",44,"Jump Shot",21,0
"653",44,"Running Jump Shot",2,0
"654",45,"Jump Bank Shot",1,1
"655",45,"Jump Shot",17,0
"656",45,"Pullup Jump shot",2,0
"657",45,"Running Jump Shot",6,1
"658",46,"Jump Bank Shot",1,0
"659",46,"Jump Shot",16,1
"660",46,"Running Jump Shot",5,0
"661",47,"Jump Bank Shot",1,1
"662",47,"Jump Shot",21,0
"663",47,"Running Jump Shot",3,0
"664",48,"Jump Shot",16,0
"665",48,"Running Bank shot",1,0
"666",48,"Running Jump Shot",8,1
"667",49,"Jump Shot",19,0
"668",49,"Pullup Jump shot",1,0
"669",49,"Running Bank shot",1,0
"670",49,"Running Jump Shot",6,0
"671",50,"Jump Shot",13,0
"672",50,"Pullup Jump shot",1,0
"673",50,"Running Jump Shot",2,0
